title,image,plot
1 Night in San Diego,https://upload.wikimedia.org/wikipedia/en/2/25/1_Night_in_San_Diego.jpg,"Hannah, a former reality star, and Brooklyn, a social media influencer, are a pair of best friends and wannabe celebrities who have recently moved out to Hollywood. Facing personal and professional woes, they accept an invitation to spend time with a former high school crush in San Diego. When they ultimately find him unappealing, they decide to spend a debauchery-filled night out in the city that will test the limits of their friendship."
1Up (film),https://upload.wikimedia.org/wikipedia/en/1/13/1Up_%28film%29.jpeg,"Vivian ""V"" Lee is a competitive gamer whose impressive skills have landed her a college scholarship and a place on the Betas, Barrett University's male-dominated team. But when the Betas' captain Dustin tells V she'll never be a starting player, it's game on. Joined by her best friend Sloane, and under the guidance of her coach Parker, V forms a fierce all-girl team to band together with one common goal: level up to the nationals…and take down the Betas!"
2 Hearts (film),https://upload.wikimedia.org/wikipedia/en/4/42/Two_hearts_xlg.jpg,"Plot   The film claims to be based on a true story.  Chris, one of the two main characters in the film, is shown standing on a beach, when suddenly the film fast forwards and shows him being wheeled into an operating room. The film rewinds to an earlier decade to the story of Jorge, who is playing soccer when he falls unconscious and also undergoes an operation. The doctor tells his parent that he will probably not live to the age of 20 and should not exert himself. At university, Chris bumps into Samantha (Sam) twice and starts helping her with her ""safety buddies"" program. An already 30-year-old Jorge meets Leslie, a flight attendant on his flight. He is the son of the Cuban owner of the Bolivar rum brand. While spending time with Jorge in Hawaii, Leslie asks him about his cough and scar and he tells her about his condition off-screen. Jorge proposes to Leslie. Chris, before taking his driving test, fills out a form at the DMV indicating he is willing to be a donor. He tells Sam that she must go on a date with him if he passes the test and they have their first date that night. Sam meets Chris' family during Easter break. Jorge and Leslie get married, without his parents, who apparently disapprove of their son marrying an American woman.  While hanging out with Sam and his two best friends in the dorm, Chris suddenly falls and loses consciousness, and the film shows him being wheeled into the operating room as in the opening scene. Later, a doctor comes into his room, where Sam and Chris' parents and brother are present. When Chris wakes up, he tells Sam he wants to ask her something and the film subsequently shows their marriage. At this point, Chris, the narrator, mentions that years earlier Jorge and Leslie lived a life similar to that of him and Sam but that there were some painful differences. Leslie is shown crying next to a baby crib while Sam is shown to be pregnant. A doctor tells Jorge and Leslie that they can't have children. Chris and Sam go to pregnancy training together, while Jorge's cough gets worse. Jorge is shown with an oxygen generator, while Chris and Sam are shown with their baby. A doctor tells Jorge and Leslie that he has scheduled a lung transplant for Jorge, who is shown being wheeled to his operation in the transplant clinic.  Chris is promoted to lieutenant firefighter and arrives home to share the news with Sam and their son. As the narrator, he says that this is not what actually happened, and the film returns to him being wheeled into the operating room and the doctor coming in to meet him. The next morning, the doctor informs Chris' family that Chris is braindead and that they have found suitable recipients in need of heart, lungs, liver, pancreas, kidneys and eyes, which Chris can donate. Here, the film shows the receivers of the organs getting a phone call. Chris' family is met by Chris' friends who are holding a candle wake in front of the hospital. Jorge comes to after the transplant and asks, ""Who is in here breathing for me?"" Leslie answers, ""An angel, that is all we know."" The film proceeds to show Chris' funeral. Jorge insists on knowing who his donor was, and sends a letter of gratitude to Chris' parents, and they send a letter back. Sam and Chris' parents meet with Jorge and Leslie. The final scene shows Chris on the beach as in the opening scene, looking towards Jorge and Leslie's yacht with Sam and his parents on it."
2 Minutes of Fame,https://upload.wikimedia.org/wikipedia/en/6/65/2-minutes-of-fame-movie-poster-md.jpg,2 Minutes of Fame is about an aspiring stand-up comedian who becomes a viral online sensation. He moves to Los Angeles hoping to become a film star and have a movie career. He has a wife who watches him follow his dream while taking care of his house and children.
7 Days (2021 film),https://upload.wikimedia.org/wikipedia/en/a/a9/7DaysFilmPoster.png,"The film opens with several Indian couples discussing their traditional arranged marriages. An Indian website is a modern method for unmarried singles to seek a spouse. Both Ravi's and Rita's mothers have created profiles for them on Arranged, a website for America-based Indians.   Ravi and Rita have an awkward pre-arranged date at a dry reservoir. As her mother had posted she was a vegetarian, he had brought a special meat-free meal. When she points out that the lemonade he brought was hard and the site stated he is a teetotaler, embarrassed, he pours it on the ground.  Suddenly they both get alerts to their phones about the COVID-19 pandemic, going back to her place they simultaneously call their moms. It is a mess, trash everywhere, dirty dishes and evidence that she drinks. Ravi waits for the car rental agency to call him back, as his train has been cancelled. As there won't be a car until morning, Rita offers him the couch. After he updates his mom, he overhears her talking dirty to someone on the phone. In a panic, he goes to her bathroom and finds her vibrator.   First thing in the morning Ravi leaves as soon as he can on foot to the agency. Rita gives him a friendly goodbye, but he leaves coldly. Relieved he's gone, she grabs a beer and a cold chicken drumstick from the fridge. Ravi suddenly pops back in, as he is told it will be three more days. He is forced to shelter in place due to the pandemic.  When Ravi asks about the alcohol and meat Rita begs him to not tell her mother. He concedes then blurts out that they aren't a good match, pointing out her dishonesty as a reason. She explains that her mother pays for her rent in exchange for her participation in the website.   Ravi tries to make small talk, and then asks Rita if he can clean, saying it relaxes him. Finished cleaning, he gets a teasing call from his brothers about being holed in with her. He is antsy whereas she is totally relaxed, used to inactivity as she's unemployed.    Chatting again, Rita admits she's not remotely interested in marriage, whereas Ravi insists he needs to get married before he can have any intimacy. He insists he's not boring, describing odd idiosyncrasies of his lab mates.   Rita gets a call from her lover, who turns out to be married. Unable to go for a walk, Ravi shows he's emotional as he describes to her a Bollywood movie. Bored, she spikes his Coke with whiskey and, as he's never touched alcohol, it quickly affects him. He both tries to do standup and then dance for the first time, but gets sick.  Sore at Rita the next morning, Ravi blames her for his hangover. A short while later, she joins him for an online workout. Her mother calls, asking about the date, hoping she didn't divulge her true self, as he couldn't love 'that you'.  Ravi offers to teach Rita to cook. In the process, he is appalled at her process and the end result, but she is pleased. His mother sets him up on a virtual blind date, which Rita coaches him through. Ravi finishes the date really happy, but dreams of Rita.  The next morning, after Rita hears Ravi's conversation via speakerphone with his mother she goes stir crazy and insists on going out, and doesn't take a mask. She arrives baxk late. In the morning, upon saying goodbye she coughs, so he cancels his departure to  help Rita quarantine.  During the day or so of quarantining they get to know one another. she talks about her affair, he tells her very infantile knock knock jokes...during the night her bad coughing concerns him, so he spoons her. By morning he calls an ambulance.  Once Rita is hospitalised, Ravi goes through her things, with notable and increasing affection. He has a lot of difficulty having contact via phone. Ravi discovers her paintings are all sweet and about love, not raunchy as she implied.   Her mom calls, and he tells her about Rita's COVID hospitalization. She asks to zoom with him. The few times Ravi does get through, the woman in Rita's room dies. A newbie there kindly keeps him updated. When she's released, they meet in a park and their mutual affection is visible."
8-Bit Christmas,https://upload.wikimedia.org/wikipedia/en/f/f0/8_Bit_Christmas.jpg,"Jake Doyle (Neil Patrick Harris) recounts to his young cell phone obsessed daughter, Annie, how, as a child in the late 1980s, he got his first Nintendo Entertainment System. The movie is told in flashbacks as Jake recalls the memory of that Christmas season when all he wanted was the game console.  Timothy Keane, the richest kid in the grade, is the only kid in town with the new Nintendo entertainment system and all the latest accessories. Every day, Jake and his friends gather with the rest of the school outside of Timmy's house, where he chooses ten kids to play in his basement. Timmy even ends up getting the NES Power Glove, only to discover that the product is a bit of a joke.  Tired of pandering to Timmy for access to the coveted Nintendo, Jake dreams of getting his own system for Christmas and approaches his distracted mom and forever DIYing dad about getting one for the holidays, only to be shut down on the basis that video games are bad for your brain, and he should play outside more.  Jake's quest for a Nintendo intensifies after Timmy angrily destroys his TV after losing a game, seriously injuring his family's dog. Hearing the first prize of a Scout fundraiser for selling the most Christmas wreaths will be a Nintendo, Jake and his friends compete to sell the most wreaths and win the system.  Jake endures the humiliation of wearing girl boots, shoveling dog poop, and family shopping trips to the mall. His sister has her own desired toy, a Cabbage Patch Kids doll, and Jake agrees to drop hints on her behalf, and even accompany his father to a back alley deal to buy one of the sold out dolls, in exchange for tips on selling wreaths in the old folks' home.  The wreath sales end up being a dead end, after Timmy's father convinced the community to ban video games. The children decide to take matters into their own hands, selling baseball cards (including a rare Bill Ripken card) to pool their money, and buy a system to share. Without a ride to the mall, they concoct an elaborate plan to sneak away during the school field trip to make the purchase. Jake manages to evade parents, who are protesting video games in front of the game store, to buy the Nintendo and run back to the bus, only for the game system to be crushed by the school bus. A kind adult who sends Jake back to his field trip advises him to focus less on the presents, and more on the season of giving.  Christmas Day comes, and Jake does not receive a Nintendo. Instead, his father surprises Jake with a backyard tree fort he made himself with a trap door, ladders, and lights. Jake never got a Nintendo for Christmas, but the tree fort and his father's love for him was the better gift.  Adult Jake tells his daughter he eventually bought his own Nintendo after working all summer to earn one, and shows her the tree fort, which remains standing, reminiscing about all the good memories made, and the adventures he had because of his father's gift."
9 Bullets,https://upload.wikimedia.org/wikipedia/en/8/80/9_Bullets_%282022_film%29.png,"Gypsy, a former burlesque dancer who seeks redemption, takes a second chance at life by becoming an author, all while risking everything to rescue Sam, her young neighbor who witnessed his parents' murder. While determined to write her memoir, she spends much of her time trying to bring the boy to safety by evading the local crime boss and her longtime ex-lover, who wants what the boy possesses—access to his missing money."
12 Hour Shift,https://upload.wikimedia.org/wikipedia/en/1/18/12_Hour_Shift_%282020%29_poster.jpg,"In Arkansas in 1999, Mandy is an overworked nurse with a drug addiction. In addition to stealing patient medications, she finances her drug habit by harvesting dead patients' organs. Desk nurse Karen is Mandy's partner, and Mandy has recently brought on her cousin Regina to transport the organs to trafficker Nicholas.  One night, at the start of her 12-hour shift, Mandy hands over a harvested kidney in a cooler to Regina behind the hospital. Regina accidentally leaves the cooler with the kidney, instead carrying a cooler with a soda can to Nicholas. Nicholas demands Regina get the kidney or he will take hers. Regina cannot find the kidney at the hospital. Mandy refuses to help her, so Regina dresses like a nurse and kills one of Mandy's patients by pouring bleach down his throat. Regina expects that Mandy will be able to extract the dead patient's kidney, but Mandy angrily explains that he was on dialysis, so his kidneys are unusable.  Police arrive to investigate the murdered patient. Regina attacks more people and threatens to expose the organ trafficking operation unless Mandy helps her. Mandy agrees and tells Regina to wait outside. Regina sees one of Nicholas's henchman, and in a panic kills a passing skateboarder to take his kidney, but ends up taking his bladder instead. Meanwhile, inside the hospital Mandy kills a patient with an overdose and manages to harvest his kidney. She leaves the kidney in another cooler by the vending machine, but it has disappeared by the time Regina gets to it.  Nicholas's henchman Mikey, who has entered the hospital and terrorized staff and patients, prepares to drag Regina away, but she desperately suggests that they kidnap a comatose patient so that Nicholas can take all his organs. The comatose patient is Mandy's abusive, drug-addicted half-brother. Mandy intervenes, and together she and Regina manage to overcome Mikey. The police investigation incorrectly determines that Mikey had been committing the murders around the hospital. Regina leaves. Hospital guest Mr. Kent suddenly announces that he has been finding the coolers containing kidneys all night; the exhausted Mandy leaves to take a nap in her truck. The film ends with Mandy re-entering the hospital to begin her next shift, followed shortly thereafter by Nicholas."
12 Mighty Orphans,https://upload.wikimedia.org/wikipedia/en/7/75/12_Mighty_Orphans_poster.jpg,"The true story of the Mighty Mites, the football team of a Fort Worth orphanage who, during the Great Depression, went from playing without shoes, or even a football, to playing for the Texas state championships. Over the course of their winning season, these underdogs and their resilient spirit became an inspiration to their city, state, and an entire nation in need of a rebound, even catching the attention of President Franklin D. Roosevelt.  The architect of their success was Rusty Russell, a legendary high school coach who shocked his colleagues by giving up a privileged position so he could teach and coach at an orphanage. Few knew Rusty's secret: that he himself was an orphan. Recognizing that his scrawny players could not beat the other teams with brawn, Rusty developed innovative strategies that would come to define modern football."
13: The Musical,https://upload.wikimedia.org/wikipedia/en/c/c5/13_Musical_Film_Poster.jpg,"Evan Goldman is forced to move from New York City to his grandmother’s house in Walkerton, Indiana, when his parents go through a divorce (""Thirteen""). He befriends the next door neighbor, Patrice (""The Lamest Place in the World""), and her friend Archie, who is a wheelchair user.  Faced with his upcoming Bar Mitzvah, Evan aims to befriend the popular kids at his new school, led by football star Brett Sampson and head cheerleader, Kendra Duncan, but this alienates him from Patrice, who is considered a dork by the popular kids and sees Evan wanting to befriend them as a betrayal. Things aren’t better at home, with Evan resenting both his parents for the divorce and move and his mother Jessica lamenting giving up her writing career for her marriage, only for it to fail anyway.  Brett and Kendra are crushing on each other and want to share their first kiss together (""I’ve Been Waiting""), but Kendra’s best friend Lucy also likes Brett, and is fed up with always being outshone by Kendra (""Opportunity""). When Evan comes up with a plan to trick Kendra’s overbearing mother and get her and Brett on a date to the movies (""The Bloodmaster""), Lucy threatens him to prevent the two from kissing or she will get everyone to boycott Evan’s party.  To prevent the kiss without angering Brett directly, Evan recruits Archie, who has a huge crush on Kendra, to sit next to her at the movies to ruin the mood. Archie is fine with this, despite knowing Evan is using him (""Getting Ready""), but Patrice learns and calls Kendra’s mother with the truth, causing her to storm in and ruin the date.  This backfires on her when such an act alienates her from both Archie and Evan, who is blamed and shunned. Lucy makes her move and kisses Brett, claiming him as her boyfriend.  Lucy proves to be a clingy overbearing girlfriend to Brett, whose friends pity his sad state (""Bad Bad News""). Evan and Jessica reconcile over the disappointing turns their lives have taken (""It Would Be Funny""), and Evan finally calls his father, who apologizes and encourages him to fix his mistakes. He convinces Brett to apologize to Kendra, with help from Patrice (""Tell Her"").  Brett and Kendra reconcile, and he dumps Lucy.  Evan and Patrice apologize to each other, and Evan asks her to come to his Bar Mitzvah.  The morning of the party, Patrice is convinced to forgive Evan by a gift Evan leaves at her house, and goes to the service, which is also attended by Brett and Kendra and their friends, including Lucy, who apologizes and makes up with Kendra. Evan completes his service, and everyone sings that they have ""A Little More Homework to Do"" while flashes show Jessica and Evan moving into a house of their own, Evan being friends with both Brett and Kendra, and Patrice and Archie with understanding on both sides, Jessica resuming her writing career, and Archie getting a new crush. The whole cast has an epic party afterwards, with a performance of ""A Brand New You""."
